UserName,Handle,Timestamp,Text,Comments,Likes,Retweets
Alberto Fernández Retweeted,@CancilleriaARG,2021-10-29T11:54:35.000Z,"Cancillería Argentina
@CancilleriaARG
·
6hA partir del día de hoy y teniendo en cuenta la mejora de la situación epidemiológica en Argentina, las y los argentinos pueden ingresar a la Unión Europea  sin restricciones.

Más información en  https://cancilleria.gob.ar/es/actualidad/noticias/la-union-europea-levanta-las-restricciones-para-los-viajes-desde-argentina…
39
200
458",39,200,458
Alberto Fernández Retweeted,@CasaRosada,2021-10-29T15:10:38.000Z,"Casa Rosada
@CasaRosada
·
3hEl presidente Alberto Fernández llega a Italia para participar de la Cumbre de Líderes del G-20
Casa Rosada
@CasaRosada
El presidente Alberto Fernández llega a Italia para participar de la Cumbre de Líderes del G-20.
81
209
508",81,209,508
Alberto Fernández Retweeted,@CasaRosada,2021-10-28T18:47:40.000Z,"Casa Rosada
@CasaRosada
·
23hEl presidente 
@alferdez
 recorrió stands de empresas locales y regionales en el multievento de negocios #ExpoEscobar donde dialogó con productores y empresarios.

https://casarosada.gob.ar/slider-principal/48182-el-presidente-alberto-fernandez-recorrio-stands-de-empresas-locales-y-regionales-en-el-multievento-de-negocios-expo-escobar…
119
136
407",119,136,407
Alberto Fernández,@alferdez,2021-10-28T01:32:12.000Z,"Alberto Fernández
@alferdez
·
Oct 27En el homenaje a Néstor, vi las mismas caras que veíamos juntos en 2003. Caras que reclaman más empleo, trabajo y producción.
 
A su lado aprendí que lo más importante es sacar de la postergación a la Argentina. Ese es el rumbo que nos ha marcado, uno que integra a todas y todos.
1.9K
1K
4.3K",1.9K,1K,4.3K
Alberto Fernández,@alferdez,2021-10-28T01:32:14.000Z,"Alberto Fernández
@alferdez
·
Oct 27Él es la luz que nos lleva a premiar a quienes invierten, producen, dan trabajo y no a quienes especulan. A cuidar los precios y el bolsillo del pueblo en lugar de dejarlo en manos del mercado. A priorizar a las argentinas y argentinos en lugar de arrodillarnos ante el FMI.
Sergio Massa and Axel Kicillof
160
201
959",160,201,959
Alberto Fernández,@alferdez,2021-10-28T01:32:16.000Z,"Alberto Fernández
@alferdez
·
Oct 27Tengo la tristeza de no tenerlo a Néstor, pero la certeza absoluta de que mi destino es hacer la Argentina libre, justa y soberana que él se propuso.
258
180
978",258,180,978
Alberto Fernández,@alferdez,2021-10-27T23:37:47.000Z,"Alberto Fernández
@alferdez
·
Oct 27El jueves visité el Instituto Modelo San José de Temperley y pude conversar con estudiantes. Con interés de seguir dialogando sobre la situación educativa, hoy recibí a Malena y Damián, dos de sus docentes.

#Sí a escuchar y dar respuesta por la educación de nuestra juventud.
1:03
17.8K views
125
283
870",125,283,870
Alberto Fernández Retweeted,@FrenteDeTodos,2021-10-27T21:31:30.000Z,"TODS
@FrenteDeTodos
·
Oct 27En vivo desde Morón  | Recordamos a Néstor Kirchner. #NéstorVive
TODS
@FrenteDeTodos
En vivo desde Morón  | Recordamos a Néstor Kirchner. #NéstorVive
303
538
1.4K",303,538,1.4K
Alberto Fernández,@alferdez,2021-10-27T20:48:58.000Z,"Alberto Fernández
@alferdez
·
Oct 27Vamos a homenajear a Néstor.
1.9K
1.4K
11.7K",1.9K,1.4K,11.7K
Alberto Fernández Retweeted,@FerEspinozaOK,2021-10-23T14:35:37.000Z,"Fernando Espinoza
@FerEspinozaOK
·
Oct 23SÍ a garantizar los precios.
SÍ a controlar la inflación.
SÍ a cuidar a las familias.
#SíACuidarLosPrecios 
608
373
1K",608,373,1K
Alberto Fernández Retweeted,@MarioSeccoOK,2021-10-23T14:07:28.000Z,"Mario Secco
@MarioSeccoOK
·
Oct 23 Con el objetivo de cuidar el bolsillo de nuestros vecinos, desde el Municipio acompañamos el acuerdo de precios impulsado por los Gobiernos Nacional y Provincial que propone mantener por 90 días los precios de 1.432 productos de consumo masivo 
@RobertoFeletti
 @giorgi_debora
139
353
751",139,353,751
Alberto Fernández Retweeted,@nico_mantegazza,2021-10-23T17:29:13.000Z,"Nicolas Mantegazza
@nico_mantegazza
·
Oct 23 Salimos a cuidar los precios en todo el distrito para garantizar el acceso a una amplia canasta de productos de consumo masivo, y de esta manera proteger y defender a las familias argentinas.

#SíACuidarLosPrecios 
#SíAlAcuerdoDePrecios 
@Kicillofok
 
@alferdez
Alberto Fernández and Axel Kicillof
49
104
262",49,104,262
Alberto Fernández Retweeted,@ArielSujarchuk,2021-10-23T17:20:35.000Z,"Ariel Sujarchuk
@ArielSujarchuk
·
Oct 23Supervisamos que los comercios cumplan con el acuerdo de precios para cuidar el bolsillo de cada escobarense  https://facebook.com/459777610743664/posts/4737811649606884/?sfnsn=scwspmo…

#SíACuidarLosPrecios 
M Laura Guazzaroni and 7 others
73
168
399",73,168,399
Alberto Fernández Retweeted,@Andreswatsonok,2021-10-23T14:23:09.000Z,"Andrés Watson
@Andreswatsonok
·
Oct 23En #Varela estamos recorriendo los comercios para realizar el relevamiento de precios cuidados. 
El programa abarca todos los locales de la ciudad con 1432 productos.
Sí a controlar la inflación, cuidar el bolsillo de la gente y detener a los especuladores.

#SíACuidarLosPrecios
170
228
581",170,228,581
Alberto Fernández Retweeted,@Dataclave,2021-10-23T21:49:50.000Z,"Dataclave
@Dataclave
·
Oct 23#ATENCIÓN | ¡Charly #García en vivo!

El artista sorprendió a los fans y se presentó en el Centro Cultural Kirchner

Suena ""Cerca de la Revolución""

También lo acompaña Fito Páez

#CharlyCumple70
71
1.2K
4.6K",71,1.2K,4.6K
Alberto Fernández Retweeted,@Laritabrito,2021-10-21T14:49:00.000Z,"Larita
@Laritabrito
·
Oct 21Falto 1 día al colegio: *cae el presidente*
277
3.1K
98.6K",277,3.1K,98.6K
Alberto Fernández Retweeted,@KulfasM,2021-10-21T22:59:18.000Z,"Matías Kulfas
@KulfasM
·
Oct 21Septiembre de 2021 fue el mejor septiembre en una década en exportaciones, y el segundo mejor de la historia. Los precios de exportación ayudaron, pero también las cantidades exportadas, que fueron las más altas en una década. 

Estamos empezando a salir.
INDEC Argentina
167
546
1.5K",167,546,1.5K
Alberto Fernández Retweeted,@gabicerru,2021-10-21T19:26:33.000Z,"Gabriela Cerruti
@gabicerru
·
Oct 21#Acuerdos | Seguiremos trabajando en dialogar y lograr acuerdos con la oposición política y con todos los sectores de la economía, el trabajo, la producción y la sociedad para construir un país mejor para los argentinos y las argentinas.
106
105
301",106,105,301
Alberto Fernández Retweeted,@gabicerru,2021-10-21T19:26:32.000Z,"Gabriela Cerruti
@gabicerru
·
Oct 21#RíoNegro |  Repudiamos todas las situaciones de violencia. Aunque no se cumplen los presupuestos de la Ley de Seguridad Interior, se dispuso el envío de gendarmes. Cuando hay conflicto lo que hay que llevar es serenidad. Usarlo en términos electorales solo aviva los conflictos.
114
99
277",114,99,277
Alberto Fernández Retweeted,@gabicerru,2021-10-21T19:26:32.000Z,"Gabriela Cerruti
@gabicerru
·
Oct 21La vicepresidenta 
@CFKArgentina
 fue perseguida judicialmente durante todo el macrismo y nunca dejó de estar a disposición de la justicia. La actitud de 
@mauriciomacri
 es anti-republicana y contradictoria con el discurso, pero no nos asombra.
117
161
481",117,161,481
Alberto Fernández Retweeted,@gabicerru,2021-10-21T19:26:31.000Z,"Gabriela Cerruti
@gabicerru
·
Oct 21Le pedimos a la oposición que no entre en el juego de generar temor. No queda claro si las declaraciones de 
@horaciorlarreta
 son un diagnóstico o un deseo. Diagnóstico no es. Entonces es un problema que esté deseando que la población no pueda llevar comida a su mesa.
67
129
320",67,129,320
Alberto Fernández Retweeted,@gabicerru,2021-10-21T19:26:31.000Z,"Gabriela Cerruti
@gabicerru
·
Oct 21#PreciosCuidados | Trabajamos para resolver en el menor tiempo posible el acceso al consumo y a la alimentación. No hay razón específica que justifique el aumento de los precios. Vamos a garantizar el cumplimiento de la lista acordada.
40
80
213",40,80,213
